Conjunções Coordenativas:;Coluna1;Frequência;;Conjunções Subordinativas:;Coluna1;Frequência;;Conjunções Duvidosas:;Coluna1;Frequência
assim;37;36;;antes que ;1;1;;não obstante;1;1
bem como                       ;4;4;;apenas ;11;10;;pois;9;9
contudo ;4;4;;assim como;1;1;;porque;6;6
dessarte ;1;1;;caso;4;4;;tanto[...]como;1;1
destarte ;2;2;;como;90;76;;;;
e ;354;354;;conforme;7;7;;Função Sintática Duvidosa:;Coluna1;Frequência
entretanto;6;6;;consoante;2;2;;que;315;236
então ;6;6;;dado que;1;1;;se;140;140
já[...]já ;1;1;;de forma que  ;1;1;;;;
logo;11;11;;em que ;16;13;;;;
mas;9;5;;embora ;5;5;;;;
nem;1;1;;enquanto ;2;2;;;;
no entanto;4;4;;já que;10;10;;;;
não apenas[...]mas também;1;1;;mesmo que;2;2;;;;
não somente[...]mas também;1;1;;na medida em que ;3;3;;;;
não só[...]como também;2;2;;para que;11;11;;;;
não só[...]mas também;2;2;;posto que ;2;2;;;;
ora[...]ora ;1;1;;qual ;24;24;;;;
ou ;18;14;;quando  ;5;5;;;;
ou[...]ou ;2;2;;segundo ;20;20;;;;
por conseguinte;7;7;;tal[...]como ;6;6;;;;
por isso ;3;3;;tal[...]que;10;10;;;;
portanto;26;26;;tanto[...]que ;3;3;;;;
porém;5;5;;uma vez que ;16;16;;;;
seja[...]seja;3;3;;visto que ;6;6;;;;
sendo assim ;4;4;;;;;;;;
senão ;1;1;;;;;;;;
tanto[...]quanto ;1;1;;;;;;;;
todavia;3;3;;;;;;;;
